algorithm,seed,run_idx,obstacle_geometry,P_or_library_size,collision,infeasible,certificate_lost,qp_infeasible,runtime_error,reached_goal,survived_horizon,task_completed,completed_or_survived,filter_failure,union_failure,total_steps,timed_steps,mean_compute_ms,median_compute_ms,p95_compute_ms,max_compute_ms,nominal_tracking_fraction,mean_intervention_l2,max_intervention_l2,policy_switch_count,selected_policy_histogram,num_candidate_qps_solved,num_steps_with_no_safe_policy,num_feasible_backup_candidates_per_step,num_certified_backup_candidates_per_step,terminal_failure_count,num_rollout_safe_candidates_per_step,num_qp_feasible_candidates_per_step,certificate_loss_steps,qp_infeasible_steps,fallback_steps,candidate_qp_failure_count
plcbf,7,10,"[[79.0149369682083, ""middle""], [76.36447291404622, ""right""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,15.160563810813157,14.196375152096152,16.037337481975563,76.0373747907579,0.7821428571428571,298.49906092495104,6763.561314419503,6,"{""lane_change_left"": 227, ""lane_change_right"": 1, ""stop"": 52}",0,0,[],[],0,[],[],28,0,28,0
plcbf,7,11,"[[82.52132861592331, ""middle""], [83.68065497093559, ""left""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.39593922431496,14.228374930098653,15.813849843107164,47.03054088167846,0.7678571428571429,325.95458433768573,6248.886708590691,11,"{""lane_change_left"": 202, ""lane_change_right"": 31, ""nominal"": 19, ""stop"": 28}",0,0,[],[],0,[],[],40,0,40,0
plcbf,7,12,"[[81.96708378944743, ""middle""], [82.96708378944743, ""left""]]",4,False,False,False,False,False,False,True,False,True,False,False,280,275,14.041942584921014,14.092541998252273,14.7526043234393,42.02254209667444,0.7857142857142857,96.11502005179727,4868.2707868144635,8,"{""lane_change_left"": 201, ""lane_change_right"": 22, ""stop"": 57}",0,0,[],[],0,[],[],0,0,0,0
plcbf,7,13,"[[82.48535750677152, ""middle""], [83.48535750677152, ""left""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.456168830564076,14.247667044401169,15.76256682164967,39.29425007663667,0.7607142857142857,326.8035259879809,6208.5786708274,14,"{""lane_change_left"": 199, ""lane_change_right"": 30, ""nominal"": 20, ""stop"": 31}",0,0,[],[],0,[],[],42,0,42,0
plcbf,7,14,"[[80.55052720444291, ""middle""]]",4,True,False,True,False,False,False,False,False,False,True,True,160,155,16.641749186261045,14.229750027880073,19.72872952464946,88.9254161156714,0.775,547.8036358211608,5014.793726009078,5,"{""lane_change_left"": 120, ""lane_change_right"": 1, ""stop"": 39}",0,0,[],[],0,[],[],59,0,59,0
plcbf,7,15,"[[82.2653524152763, ""middle""]]",4,True,False,True,False,False,False,False,False,False,True,True,163,158,14.920430117923342,14.45666654035449,18.76536079216749,37.76941611431539,0.588957055214724,631.0348067286761,6504.238103600002,8,"{""lane_change_left"": 89, ""lane_change_right"": 13, ""nominal"": 18, ""stop"": 43}",0,0,[],[],0,[],[],49,0,49,0
plcbf,7,16,"[[81.35996677204244, ""middle""], [82.35996677204244, ""left""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,15.393876064230096,14.36433382332325,20.421212492510687,66.42079213634133,0.75,333.40804003674896,5885.019394773558,13,"{""lane_change_left"": 203, ""lane_change_right"": 26, ""nominal"": 16, ""stop"": 35}",0,0,[],[],0,[],[],44,0,44,0
plcbf,7,17,"[[79.60315207667348, ""middle""], [77.42075386673586, ""left""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.48422409594059,14.33445792645216,17.253175191581253,39.75650016218424,0.8,281.3968234279048,6807.029122450474,11,"{""lane_change_left"": 198, ""lane_change_right"": 49, ""nominal"": 5, ""stop"": 28}",0,0,[],[],0,[],[],21,0,21,0
plcbf,7,18,"[[79.38681637572698, ""right""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,15.77678467739712,14.400832820683718,21.562945470213894,87.94095879420638,0.9357142857142857,54.41453844445727,7997.697847711777,3,"{""lane_change_left"": 278, ""lane_change_right"": 1, ""stop"": 1}",0,0,[],[],0,[],[],2,0,2,0
plcbf,7,19,"[[81.68706065044513, ""middle""], [82.99448429426741, ""left""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.599932713264769,14.378916937857866,17.81505881808699,42.05245804041624,0.7571428571428571,340.2486480894031,5958.753458289386,12,"{""lane_change_left"": 204, ""lane_change_right"": 26, ""nominal"": 17, ""stop"": 33}",0,0,[],[],0,[],[],44,0,44,0
plcbf,7,20,"[[79.52646326323323, ""left""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.674915151501244,14.353707898408175,17.11719618178904,36.81350010447204,0.9357142857142857,28.7094696174355,7998.008372414099,3,"{""lane_change_left"": 210, ""lane_change_right"": 69, ""stop"": 1}",0,0,[],[],0,[],[],1,0,1,0
plcbf,7,21,"[[82.6156671527837, ""middle""]]",4,True,False,True,False,False,False,False,False,False,True,True,163,158,14.400426149545119,14.269062434323132,15.163359674625099,60.80816686153412,0.5950920245398773,614.0941486488064,6573.000979591739,5,"{""lane_change_left"": 101, ""lane_change_right"": 1, ""stop"": 61}",0,0,[],[],0,[],[],50,0,50,0
plcbf,7,22,"[[79.76985397987333, ""right""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.600599656220187,14.252000022679567,15.20397518761456,70.58333302848041,0.9357142857142857,54.41683630147004,7997.798906991174,3,"{""lane_change_left"": 278, ""lane_change_right"": 1, ""stop"": 1}",0,0,[],[],0,[],[],2,0,2,0
plcbf,7,23,"[[79.72220999379564, ""right""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.219285011799498,14.23091720789671,15.101487748324873,41.445208014920354,0.9357142857142857,54.41771872362239,7997.8403190693825,3,"{""lane_change_left"": 278, ""lane_change_right"": 1, ""stop"": 1}",0,0,[],[],0,[],[],2,0,2,0
plcbf,7,24,"[[81.27877709789523, ""middle""], [80.03903114975944, ""left""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.24638470634818,14.255666872486472,15.038283099420369,49.77654106914997,0.7892857142857143,295.20507715047086,6875.945111868453,10,"{""lane_change_left"": 202, ""lane_change_right"": 48, ""nominal"": 3, ""stop"": 27}",0,0,[],[],0,[],[],27,0,27,0
plcbf,7,25,"[[79.15222914676495, ""right""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.679363186217167,14.160832855850458,14.9879714474082,68.24941700324416,0.9392857142857143,28.708140700250105,7997.901552377298,3,"{""lane_change_left"": 278, ""lane_change_right"": 1, ""stop"": 1}",0,0,[],[],0,[],[],1,0,1,0
plcbf,7,26,"[[81.19054079685495, ""middle""], [82.19054079685495, ""left""]]",4,False,False,False,False,False,False,True,False,True,False,False,280,275,14.939970255575396,14.331541955471039,15.529787656851115,71.72808307223022,0.7857142857142857,97.01892918131401,5498.464144772356,7,"{""lane_change_left"": 201, ""lane_change_right"": 23, ""stop"": 56}",0,0,[],[],0,[],[],0,0,0,0
plcbf,7,27,"[[80.48874109026082, ""middle""]]",4,True,False,True,False,False,False,False,False,False,True,True,159,154,15.497871181722005,14.296166598796844,17.165578901767724,68.60637501813471,0.7735849056603774,549.6078520209746,5215.853145646102,5,"{""lane_change_left"": 116, ""lane_change_right"": 1, ""stop"": 42}",0,0,[],[],0,[],[],58,0,58,0
plcbf,7,28,"[[82.86859294158947, ""middle""], [81.72380429673161, ""left""]]",4,False,False,True,False,False,False,True,False,True,True,True,280,275,14.849951500919731,14.360249973833561,15.515983966179194,79.88887513056397,0.7785714285714286,304.9215153736729,7042.412937749289,13,"{""lane_change_left"": 200, ""lane_change_right"": 41, ""nominal"": 7, ""stop"": 32}",0,0,[],[],0,[],[],36,0,36,0
plcbf,7,29,"[[82.4912368342591, ""middle""]]",4,True,False,True,False,False,False,False,False,False,True,True,162,157,14.850779740543217,14.342624926939607,15.426708385348316,47.19254211522639,0.6049382716049383,572.3955097756642,6124.746507309393,6,"{""lane_change_left"": 103, ""lane_change_right"": 1, ""nominal"": 4, ""stop"": 54}",0,0,[],[],0,[],[],53,0,53,0
