collision,infeasible,reached_goal,nominal_tracking_pct,solve_time_sum_sec,timed_steps,total_steps,algorithm,seed,run_idx,obstacle_geometry,p_or_library_size,certificate_lost,qp_infeasible,runtime_error,survived_horizon,task_completed,completed_or_survived,filter_failure,union_failure,certificate_loss_steps,qp_infeasible_steps,fallback_steps,mean_compute_ms,median_compute_ms,p95_compute_ms,max_compute_ms,mean_intervention_l2,max_intervention_l2,nominal_tracking_fraction,policy_switch_count,selected_policy_histogram,num_candidate_qps_solved,num_steps_with_no_safe_policy,mean_feasible_backup_candidates,terminal_failure_count,mean_rollout_safe_candidates,mean_qp_feasible_candidates,num_feasible_backup_candidates_per_step,num_rollout_safe_candidates_per_step,num_qp_feasible_candidates_per_step
True,False,False,26.25,1.666181919630617,70,80,plcbf,1416765560,0,"[[15.085599060304764, 49.932119069370806, 3.902247536435036, 0.21410551148018475, 2.4], [92.14287460942685, 61.457057722859986, 0.08142147625839963, 3.5534896855946867, 2.4], [66.01389490563348, 51.16393746741708, 0.24045681964865273, 4.225104653954487, 2.4], [55.05065410933141, 48.46072151079844, -0.13234938416620973, -3.529912282590672, 2.4], [46.904881433397485, 29.05161989816821, -0.035025653976082316, 3.1246754966028636, 2.4], [6.109020613478297, 21.872281691154615, 0.2030671694477803, -3.5186218106334595, 2.4], [34.89614210978986, 4.586458219164797, -3.136510501929782, 0.811288017859921, 2.4], [67.95775213396337, 8.138797771772772, 0.04394097033343025, 3.0510754184205564, 2.4], [32.83340399844572, 11.388301915268384, -3.259004401662863, -0.016848401398417423, 2.4], [21.39136601486017, 8.820502103954542, -0.2365282943076486, -3.897588160986057, 2.4], [4.688431351340279, 30.53965629913608, 0.17645999722726385, 4.090667615972877, 2.4], [32.627178231482574, 27.265240074331306, -2.4100204942928043, 3.761638733620597, 2.4], [73.1718382267086, 6.761231639999883, 3.101158399638039, 0.17261249085061342, 2.4], [76.41915339944416, 90.18524412887417, -0.17818927844332244, 3.2246027606815995, 2.4], [96.88743383744577, 16.537443617223513, 3.3664716642697243, 0.18519245852166688, 2.4], [49.837244424979716, 10.394957311686017, 3.9164696810398434, -0.19238124815304875, 2.4], [88.78805046209091, 13.872075129657096, 0.23169639423491295, -3.12924583585088, 2.4], [7.6363296056762024, 78.37634073675706, 0.1302078203100886, 4.077951325782425, 2.4], [30.299287452178827, 78.08658231099484, 0.0866731608440175, -3.622665721328114, 2.4], [27.21610755117564, 95.06186913056911, -3.144083110331016, -0.235649763868515, 2.4], [87.76916804887246, 74.01919991368324, -0.07995881782039727, -3.4481767004233816, 2.4], [56.18454582234486, 8.88099554489514, 0.10277276185948475, -3.8326030712076427, 2.4], [49.633317247679486, 85.8455027945974, -0.06436425263107176, 3.1624535072564144, 2.4], [49.944481779421515, 15.608133062024486, -0.16438287737131374, 3.768023073039117, 2.4], [9.35113789574748, 46.22079609469948, -4.461678080537396, 0.018026541121706596, 2.4], [22.491846621762054, 70.13023800091055, 3.812270535698388, 0.1834884365183312, 2.4], [94.24905512184434, 10.481707372913917, -3.2386254246476702, -0.21429562652990136, 2.4], [60.33194555323108, 5.745184972290672, 0.18742532666921952, -3.067519280244167, 2.4], [90.33768498627514, 41.22171729569163, 4.119109742551537, 0.03759897760039704, 2.4], [11.12369735397353, 65.35519684651973, -3.9910949611821387, 1.3517656104545688, 2.4], [14.034171128481114, 87.8342023087063, -3.576494829726577, -2.3971832557395008, 2.4], [70.74171469740706, 33.54846162712661, -0.02550195412716394, -4.037379719428329, 2.4], [18.013176220498856, 91.12095530396581, 3.7329291179914907, 0.047050349654267354, 2.4], [6.043132704604876, 39.78244439208272, 0.20001387370282053, -3.8747526397158873, 2.4], [91.01195899256824, 78.17110906372376, -0.05134247003688597, 3.7164236702442164, 2.4], [26.12590890486113, 5.757870126009909, -0.03198410494722065, 3.699719029285475, 2.4], [4.065196580700777, 58.687763391633574, -0.04206489934340912, -3.795675804156897, 2.4], [39.41477908312675, 7.775296910800637, 0.12473273390906559, -3.8313253291765994, 2.4], [44.215351235157016, 51.25455033191996, -4.141488168905251, -0.22563567080961267, 2.4], [94.55318386523815, 23.020466521139433, -0.09589594647458743, 3.4591071224964858, 2.4], [88.4902109783309, 29.39298856015666, 0.19145163562440254, 3.4063475174752935, 2.4], [38.374908442700786, 70.17920134269468, -0.1605012966632411, 4.188218963255514, 2.4], [74.24755254556358, 69.44199551400712, -0.03939167201568111, 4.3444183865377335, 2.4], [86.70437445328855, 68.38105415260813, -0.057427504672273255, 3.864563082023465, 2.4], [69.64315712617345, 90.99275563033291, 4.270942250928412, 0.21341613452549457, 2.4]]",66,True,False,False,False,False,False,True,True,33,0,33,23.80259885186596,21.351145929656923,32.43776267627253,108.91687497496605,5.623854996531046,14.898472677204666,0.2625,0,"{""angle_25"": 1, ""angle_26"": 1, ""angle_27"": 3, ""angle_32"": 11, ""angle_33"": 5, ""angle_37"": 2, ""angle_38"": 3, ""angle_39"": 3, ""angle_40"": 2, ""angle_41"": 16, ""angle_42"": 3, ""angle_43"": 1, ""angle_44"": 5, ""angle_45"": 8, ""angle_46"": 16}",0,0,,0,,,[],[],[]
True,False,False,38.84892086330935,2.8218995390925556,129,139,plcbf,847444096,1,"[[45.40414417515422, 51.52643490265855, -0.17367038649410765, -4.213257295404708, 2.4], [93.40134298412912, 20.513260681071223, -3.7874551537750563, 0.054037318640560605, 2.4], [51.16812335109124, 33.53649107317022, -3.7559149544321215, -0.01923832459083208, 2.4], [47.671954606710216, 27.30454715745856, -1.323220056942936, 3.111041343378287, 2.4], [91.50794853691761, 75.61215400865312, 0.11121808949147594, 3.8520182996470016, 2.4], [5.007854583393028, 66.59153910605934, -0.32694972542582046, 3.697257548374483, 2.4], [79.8883472611522, 95.71477447579744, 2.3508057106681193, 3.656665432882228, 2.4], [90.729162139502, 36.94165138488373, 0.12152561236786835, -3.939047050571467, 2.4], [12.164225673019398, 29.83478198575067, 3.334138534438244, 0.03750223486854415, 2.4], [81.14072188616524, 4.141445067307543, -3.0078895248497868, 0.06687002623430788, 2.4], [71.42854166473167, 93.02274348855548, 0.1546276102186704, 3.3234050827139567, 2.4], [51.77337823940473, 67.02060071315661, 4.195888199700766, -0.22720463189509882, 2.4], [30.060582207959136, 95.21095966109097, 0.14324672665965626, -4.357655001795612, 2.4], [68.12645049386677, 66.06957525214823, 0.21081248495645333, -3.062167724337283, 2.4], [94.67028152365054, 51.081722946911654, -4.215312759575044, -0.03178098049272887, 2.4], [69.86755154739882, 61.273320359706794, 4.455970427675679, 0.02579015337603413, 2.4], [92.74087152609208, 67.52888476450998, 3.464466640711982, -0.009854825943366508, 2.4], [28.643485543409618, 85.7569536490266, 3.4324931491227098, 0.21785833909736652, 2.4], [96.00936340192426, 93.17254593321478, 4.114835168048117, -0.3352577229769814, 2.4], [32.389397771951074, 50.08557085471948, 3.0523038329343435, 0.04793775374578457, 2.4], [8.81895906347669, 74.45311178809841, -0.017971692756136137, 3.3035194469289997, 2.4], [91.95575479125279, 13.808834978951829, 3.1189795181420314, -0.16861594617336323, 2.4], [10.143641669251306, 22.69727495033283, 0.0738677636939713, 3.3350470662200893, 2.4], [70.34636441499929, 22.104019191995807, 3.053740803593456, -0.06820271830190605, 2.4], [67.14903905141827, 10.885588577033815, 0.034033851791035685, -3.38182653846181, 2.4], [56.13929163846306, 95.12960752837488, 0.12943312883187602, -4.466138050756899, 2.4], [83.24276340082852, 70.40336595077044, 4.128299782505673, -0.16194870720067817, 2.4], [76.20950426078464, 90.77712189269798, -0.18664194954224989, -3.390700216641738, 2.4], [35.85247752466973, 69.84489716427282, 3.721571059234748, -0.10885500768749456, 2.4], [28.738245806519146, 68.42776604577759, -2.2888282880544066, 2.593462502826448, 2.4], [7.7149802512907435, 45.472131650529526, -3.9494893121134966, -0.11624209867205021, 2.4], [50.16757192004279, 73.12436644436781, -0.03242065446541481, 4.371291013608215, 2.4], [38.29314168085394, 10.165779235146417, -0.23551272935859408, 4.009612708629265, 2.4], [24.92889401602424, 29.998236765754125, 3.7071424954843506, 0.04178548658218739, 2.4], [57.363420695756915, 7.801942415988757, -4.319821975006517, 0.019312710395510302, 2.4], [96.18761801863778, 24.821640033498614, 0.00676795392045515, -3.993256029187005, 2.4], [48.027826087541335, 45.565249372231776, 0.08495966027830293, 3.3198455553459327, 2.4], [30.916359612969078, 8.830363372905753, 3.8957434710355954, -0.02606737430818723, 2.4], [45.46369366925925, 6.100762432820387, -4.420988509281091, -0.13889662221768312, 2.4], [67.71887621732319, 28.247085889862255, 3.137403825583105, 0.053686847858555875, 2.4], [13.33762414921783, 51.58812899047589, -0.17013924843797773, 4.032539783948489, 2.4], [3.57392608515578, 84.22033988271919, -4.198114112287975, 0.01375104608255484, 2.4], [95.08923597779061, 7.109872984418491, -3.4465254237176186, 0.11500613144403721, 2.4], [26.827664994657507, 51.99791744781798, 0.08862496830580924, -4.375985345241447, 2.4], [91.94817198958016, 96.60517727521515, -3.070753709292984, 0.2341558187917449, 2.4]]",66,True,False,False,False,False,False,True,True,48,0,48,21.875190225523685,21.110208006575704,22.446292033419013,53.860040847212076,3.824216627114735,18.074804157716663,0.38848920863309355,0,"{""angle_0"": 13, ""angle_14"": 1, ""angle_24"": 1, ""angle_25"": 9, ""angle_26"": 2, ""angle_27"": 3, ""angle_28"": 8, ""angle_29"": 15, ""angle_3"": 6, ""angle_30"": 32, ""angle_31"": 14, ""angle_32"": 8, ""angle_33"": 2, ""angle_34"": 3, ""angle_35"": 2, ""angle_36"": 2, ""angle_37"": 1, ""angle_4"": 9, ""angle_41"": 1, ""angle_43"": 2, ""angle_44"": 2, ""angle_45"": 1, ""angle_46"": 2}",0,0,,0,,,[],[],[]
True,False,False,21.95945945945946,6.259248592657968,286,296,plcbf,1340608453,2,"[[3.622051720372058, 26.427682036949093, -0.03575048932987673, -4.416651872137663, 2.4], [87.81424292226102, 31.19177382010831, 4.31159172268345, -0.22763993004177713, 2.4], [5.250335332574749, 54.304927187091394, -0.1860072439855895, 3.2549699993404797, 2.4], [72.67634637478115, 67.08105973940869, 3.815030540257327, 0.18187100976109288, 2.4], [9.418258656574174, 36.92268874121537, -3.1506234968808653, -0.07942877779722252, 2.4], [50.850408513656596, 24.468716321330806, 0.15631498900295682, 4.048016261717567, 2.4], [48.882678318032355, 35.33656104037628, -3.8592651165032636, -0.04161162559674175, 2.4], [91.72746543438124, 4.793084733820663, 0.16554161981260895, -3.6266153637843495, 2.4], [27.72643227221927, 90.4811238005385, -4.264707517661895, 0.2145960721689778, 2.4], [86.14041538032357, 71.28995248252177, 0.022108669287005667, -4.029090100623461, 2.4], [66.25625650031647, 48.64105372728773, 0.15174209736122368, -4.018926944040675, 2.4], [11.370173526366965, 75.31514712705648, 3.427206063155784, -0.08800450555519657, 2.4], [25.98297009375324, 67.84980275704623, 0.07319932132103307, -3.536205214726013, 2.4], [4.442293313826652, 74.24776931173248, -4.092581746648021, 1.7544672270580692, 2.4], [81.36148742377775, 5.210076353692577, 0.01377037431033995, -3.087757089677794, 2.4], [96.01304154702936, 31.460662571139782, 0.24755030081616364, 3.606682006264088, 2.4], [93.38088703208848, 19.21733252505445, -0.30505760226859796, 3.053036595016674, 2.4], [92.27129017663043, 43.31115260815833, 0.21779919140166737, -3.541074221106991, 2.4], [25.22134990982976, 28.870224196028698, -3.2813163652560946, 0.14739601952122217, 2.4], [70.89107803515134, 83.8142096082311, -0.13129585133877825, -3.84030048441127, 2.4], [25.168938304329462, 6.110008707410267, -0.24940186231257377, -3.944320107593927, 2.4], [84.79562298954777, 9.244498546742967, 3.277252865902216, 0.3932920746080164, 2.4], [60.760295619831346, 6.248968949289679, -0.1411246793454362, 3.9821748235529744, 2.4], [91.84873033257453, 27.948803527860697, 4.152628092161417, 0.2221933539496861, 2.4], [26.601466288452357, 51.03915179324488, -0.005771568179679443, -4.374728874635026, 2.4], [94.96669821716064, 91.47294619959834, 3.271889232826929, -0.1774383605564513, 2.4], [33.432274211578225, 67.57060996680178, 0.06952632163650524, -4.155337148920101, 2.4], [70.04394838130005, 75.99928548428704, 4.360935432175913, -0.013107981700393567, 2.4], [96.63947030415936, 70.04981249967759, -0.2533479959738997, -4.28504788886523, 2.4], [79.4205029590193, 10.386661675474095, 0.235557269786179, 3.045486148076816, 2.4], [72.92401327557123, 88.60631984155086, -4.035459851739572, 0.17764015437562108, 2.4], [69.85887195453539, 26.71212052579164, 0.061694999523279226, 3.01143112812438, 2.4], [30.575907228880823, 86.28681590574038, 3.3596334906527843, -0.08080677525170682, 2.4], [12.65926248314054, 69.33814451493804, 4.282423316496449, -0.12769183596098616, 2.4], [29.79403716152685, 73.19895867899329, -4.465544757778075, -0.0948438339136441, 2.4], [8.841087592634905, 59.63213605768656, 0.12360647503357591, 3.2330298626879683, 2.4], [74.73476611660239, 29.8780012286131, 0.03759264257609768, 4.034359148763564, 2.4], [45.119432270911744, 69.94890006471259, -0.027539611461007363, -3.5112896026464355, 2.4], [68.56940719231947, 91.86063788644014, -3.6129644550290743, 0.008174085845753354, 2.4], [30.433826315991965, 79.07661031417055, 0.20614475205666605, 4.378695149119836, 2.4], [47.759921554951234, 10.53339674859075, 3.81386533540335, 0.21789821086046685, 2.4], [20.449639241437044, 90.47426298393415, -3.33144366267059, -0.12385261773358108, 2.4], [49.52078140704815, 54.95544033420866, -2.9865878483047057, -0.7264088463898207, 2.4], [16.728745965703226, 95.34729056405192, -0.008777913220848255, 3.2523641755472843, 2.4], [7.275058654851433, 81.37425822550824, 0.024478682382045758, -3.103940918306872, 2.4]]",66,True,True,False,False,False,False,True,True,126,2,128,21.88548458971318,21.132187452167273,22.31513528386131,56.16966704837978,5.6681699813153585,17.726442116312267,0.2195945945945946,0,"{""angle_0"": 28, ""angle_14"": 3, ""angle_15"": 22, ""angle_16"": 1, ""angle_17"": 1, ""angle_18"": 5, ""angle_19"": 2, ""angle_2"": 2, ""angle_20"": 2, ""angle_21"": 1, ""angle_22"": 2, ""angle_23"": 1, ""angle_24"": 2, ""angle_25"": 10, ""angle_26"": 2, ""angle_27"": 2, ""angle_28"": 6, ""angle_29"": 6, ""angle_3"": 1, ""angle_30"": 4, ""angle_31"": 1, ""angle_32"": 4, ""angle_33"": 3, ""angle_34"": 3, ""angle_35"": 9, ""angle_36"": 3, ""angle_38"": 1, ""angle_4"": 1, ""angle_41"": 2, ""angle_42"": 2, ""angle_43"": 1, ""angle_46"": 1, ""angle_47"": 3, ""angle_48"": 16, ""angle_49"": 17, ""angle_5"": 1, ""angle_50"": 16, ""angle_51"": 7, ""angle_52"": 3, ""angle_53"": 1, ""angle_54"": 1, ""angle_55"": 1, ""angle_56"": 2, ""angle_57"": 2, ""angle_58"": 12, ""angle_59"": 25, ""angle_6"": 2, ""angle_60"": 37, ""angle_61"": 7, ""angle_62"": 4, ""angle_63"": 1, ""angle_7"": 2, ""stop"": 2}",0,0,,0,,,[],[],[]
True,False,False,2.6548672566371683,13.717121876310557,103,113,multi_backup_cbf_mi,1416765560,0,"[[15.085599060304764, 49.932119069370806, 3.902247536435036, 0.21410551148018475, 2.4], [92.14287460942685, 61.457057722859986, 0.08142147625839963, 3.5534896855946867, 2.4], [66.01389490563348, 51.16393746741708, 0.24045681964865273, 4.225104653954487, 2.4], [55.05065410933141, 48.46072151079844, -0.13234938416620973, -3.529912282590672, 2.4], [46.904881433397485, 29.05161989816821, -0.035025653976082316, 3.1246754966028636, 2.4], [6.109020613478297, 21.872281691154615, 0.2030671694477803, -3.5186218106334595, 2.4], [34.89614210978986, 4.586458219164797, -3.136510501929782, 0.811288017859921, 2.4], [67.95775213396337, 8.138797771772772, 0.04394097033343025, 3.0510754184205564, 2.4], [32.83340399844572, 11.388301915268384, -3.259004401662863, -0.016848401398417423, 2.4], [21.39136601486017, 8.820502103954542, -0.2365282943076486, -3.897588160986057, 2.4], [4.688431351340279, 30.53965629913608, 0.17645999722726385, 4.090667615972877, 2.4], [32.627178231482574, 27.265240074331306, -2.4100204942928043, 3.761638733620597, 2.4], [73.1718382267086, 6.761231639999883, 3.101158399638039, 0.17261249085061342, 2.4], [76.41915339944416, 90.18524412887417, -0.17818927844332244, 3.2246027606815995, 2.4], [96.88743383744577, 16.537443617223513, 3.3664716642697243, 0.18519245852166688, 2.4], [49.837244424979716, 10.394957311686017, 3.9164696810398434, -0.19238124815304875, 2.4], [88.78805046209091, 13.872075129657096, 0.23169639423491295, -3.12924583585088, 2.4], [7.6363296056762024, 78.37634073675706, 0.1302078203100886, 4.077951325782425, 2.4], [30.299287452178827, 78.08658231099484, 0.0866731608440175, -3.622665721328114, 2.4], [27.21610755117564, 95.06186913056911, -3.144083110331016, -0.235649763868515, 2.4], [87.76916804887246, 74.01919991368324, -0.07995881782039727, -3.4481767004233816, 2.4], [56.18454582234486, 8.88099554489514, 0.10277276185948475, -3.8326030712076427, 2.4], [49.633317247679486, 85.8455027945974, -0.06436425263107176, 3.1624535072564144, 2.4], [49.944481779421515, 15.608133062024486, -0.16438287737131374, 3.768023073039117, 2.4], [9.35113789574748, 46.22079609469948, -4.461678080537396, 0.018026541121706596, 2.4], [22.491846621762054, 70.13023800091055, 3.812270535698388, 0.1834884365183312, 2.4], [94.24905512184434, 10.481707372913917, -3.2386254246476702, -0.21429562652990136, 2.4], [60.33194555323108, 5.745184972290672, 0.18742532666921952, -3.067519280244167, 2.4], [90.33768498627514, 41.22171729569163, 4.119109742551537, 0.03759897760039704, 2.4], [11.12369735397353, 65.35519684651973, -3.9910949611821387, 1.3517656104545688, 2.4], [14.034171128481114, 87.8342023087063, -3.576494829726577, -2.3971832557395008, 2.4], [70.74171469740706, 33.54846162712661, -0.02550195412716394, -4.037379719428329, 2.4], [18.013176220498856, 91.12095530396581, 3.7329291179914907, 0.047050349654267354, 2.4], [6.043132704604876, 39.78244439208272, 0.20001387370282053, -3.8747526397158873, 2.4], [91.01195899256824, 78.17110906372376, -0.05134247003688597, 3.7164236702442164, 2.4], [26.12590890486113, 5.757870126009909, -0.03198410494722065, 3.699719029285475, 2.4], [4.065196580700777, 58.687763391633574, -0.04206489934340912, -3.795675804156897, 2.4], [39.41477908312675, 7.775296910800637, 0.12473273390906559, -3.8313253291765994, 2.4], [44.215351235157016, 51.25455033191996, -4.141488168905251, -0.22563567080961267, 2.4], [94.55318386523815, 23.020466521139433, -0.09589594647458743, 3.4591071224964858, 2.4], [88.4902109783309, 29.39298856015666, 0.19145163562440254, 3.4063475174752935, 2.4], [38.374908442700786, 70.17920134269468, -0.1605012966632411, 4.188218963255514, 2.4], [74.24755254556358, 69.44199551400712, -0.03939167201568111, 4.3444183865377335, 2.4], [86.70437445328855, 68.38105415260813, -0.057427504672273255, 3.864563082023465, 2.4], [69.64315712617345, 90.99275563033291, 4.270942250928412, 0.21341613452549457, 2.4]]",66,True,True,False,False,False,False,True,True,90,10,100,133.17594054670442,127.07154080271721,174.2057667579502,176.54524999670684,9.868571861782632,15.61782776193372,0.02654867256637168,3,"{""angle_49"": 1, ""angle_50"": 4, ""angle_51"": 7, ""angle_52"": 1}",67,90,0.46017699115044247,6998,3.9557522123893807,0.46017699115044247,"[13, 12, 0, 0, 0, 2, 0, 3, 0, 0, 0, 3, 3, 3, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14, 13, 11, 11, 10, 10, 9, 9, 9, 9, 8, 8, 8, 8, 7, 7, 8, 8, 8, 7, 7, 7, 7, 6, 6, 5, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13, 12, 0, 0, 0, 2, 0, 3, 0, 0, 0, 3, 3, 3, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
